Name	Type	group ID	MW	Precursor	coll_fac	mole_diam	surf_tens	accomod	mass_dens	non-volatile	partitioning	smiles	psat_torr	dHvap	Henry	Tref
POPOA5	4	3	250.	OPOA5	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	1.24D-05	88.0d0	0.	298.0d0
POPOA6	4	3	250.	OPOA6	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	1.24D-04	82.0d0	0.	298.0d0
PPOA1	4	3	250.	POA1	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	1.24D-09	112.0d0	0.	298.0d0
PPOA2	4	3	250.	POA2	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	1.24D-08	106.0d0	0.	298.0d0
PPOA3	4	3	250.	POA3	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	1.24D-07	100.0d0	0.	298.0d0
PPOA4	4	3	250.	POA4	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	1.24D-06	94.0d0	0.	298.0d0
PPOA5	4	3	250.	POA5	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	1.24D-05	88.0d0	0.	298.0d0
PPOA6	4	3	250.	POA6	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	1.24D-04	82.0d0	0.	298.0d0
PO2POA1	4	3	250.	O2POA1	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	1.24D-09	112.0d0	0.	298.0d0
PO2POA2	4	3	250.	O2POA2	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	1.24D-08	106.0d0	0.	298.0d0
PO2POA3	4	3	250.	O2POA3	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	1.24D-07	100.0d0	0.	298.0d0
PO2POA4	4	3	250.	O2POA4	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	1.24D-06	94.0d0	0.	298.0d0
PO2POA5	4	3	250.	O2POA5	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	1.24D-05	88.0d0	0.	298.0d0
PO2POA6	4	3	250.	O2POA6	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	1.24D-04	82.0d0	0.	298.0d0
PO3POA1	4	3	250.	O3POA1	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	1.24D-09	112.0d0	0.	298.0d0
PO3POA2	4	3	250.	O3POA2	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	1.24D-08	106.0d0	0.	298.0d0
PO3POA3	4	3	250.	O3POA3	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	1.24D-07	100.0d0	0.	298.0d0
PO3POA4	4	3	250.	O3POA4	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	1.24D-06	94.0d0	0.	298.0d0
PO3POA5	4	3	250.	O3POA5	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	1.24D-05	88.0d0	0.	298.0d0
PO3POA6	4	3	250.	O3POA6	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	1.24D-04	82.0d0	0.	298.0d0
PBiA2D	4	2	186.0	BiA2D	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHI	-	0.	0.	0.	298.0d0
PBiA1D	4	2	170.0	BiA1D	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHI	-	0.	88.0d0	0.	298.0d0
PBiA0D	4	2	168.0	BiA0D	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHI	-	0.	88.0d0	0.	298.0d0
PISOPA1	4	2	177.0	ISOPA1	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	O=CC(C(C=O)(O)C)O[N+](=O)[O-]	1.43D-05	156.0d0	0.	295.0d0
PISOPA2	4	2	177.0	ISOPA2	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	O=CC(C(C=O)(O)C)O[N+](=O)[O-]	7.50D-08	156.0d0	0.	295.0d0
PBiMT	4	2	136.0	BiMT	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHI	-	0.	0.	0.	298.0d0
PBiPER	4	2	168.0	BiPER	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHI	-	0.	0.	0.	298.0d0
PBiDER	4	2	136.0	BiDER	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHI	-	0.	0.	0.	298.0d0
PBiMGA	4	2	120.0	BiMGA	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHI	-	0.	0.	0.	298.0d0
PAnA0D	4	3	142.0	AnA0D	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHI	O=CC(C)(O)C=CC(=O)C	1.99D-03	88.0d0	3.60d05	298.0d0
PAnA1D	4	3	168.0	AnA1D	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHI	O=CC(C)(C)C(=O)CCC(=O)O	6.95D-05	88.0d0	5.64d07	298.0d0
PAnA2D	4	3	186.0	AnA2D	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHI	OC(=O)CCCCCCC(=O)O	4.00D-11	88.0d0	4.14d13	298.0d0
PAnBlP	4	3	167.0	AnBlP	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	0.	0.	0.	298.0d0
PAnBIP	4	3	167.0	AnBIP	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	Cc1ccc(cc1[N+]([O-])=O)C(O)=O	1.95D-09	156.0d0	0.	298.0d0
PAnBmP	4	3	152.0	AnBmP	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	1.5D-05	156.0d0	0.	298.0d0
PBiBlP	4	3	298.0	BiBlP	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	0.	0.	0.	298.0d0
PBiBmP	4	3	236.0	BiBmP	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	4.95D-05	156.0d0	0.	298.0d0
PBiNGA	4	3	165.0	BiNGA	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	0.	0.	0.	298.0d0
PBiNIT3	4	3	272.0	BiNIT3	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	0.	0.	0.	298.0d0
PBiNIT	4	3	215.0	BiNIT	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	0.	0.	0.	298.0d0
PAnClP	4	3	167.0	AnClP	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	0.	0.	0.	298.0d0
PAnBOAhP	4	3	167.84	AnBOAhP	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	0.	0.	0.	298.0d0
PAnBOAlP	4	3	210.0	AnBOAlP	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	0.	0.	0.	298.0d0
PAnBOAmP	4	3	180.98	AnBOAmP	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	0.	0.	0.	298.0d0
PAnBSOAhP	4	3	234.976	AnBSOAhP	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	0.	0.	0.	298.0d0
PAnBSOAmP	4	3	253.372	AnBSOAmP	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	0.	0.	0.	298.0d0
PSOAlP	4	3	392.0	SOAlP	687.d0	8.39d0	30.D-03	1.0	1.50D-06	1	HPHO	-	0.	0.	0.	298.0d0
PSOAmP	4	3	392.0	SOAmP	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	0.	0.	0.	298.0d0
PSOAhP	4	3	392.0	SOAhP	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	0.	0.	0.	298.0d0
PPOAlP	4	3	280.0	POAlP	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	0.	0.	0.	298.0d0
PPOAmP	4	3	280.0	POAmP	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	0.	0.	0.	298.0d0
PPOAhP	4	3	280.0	POAhP	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	0.	0.	0.	298.0d0
PBSOAlP	4	3	392.0	BSOAlP	687.d0	8.39d0	30.D-03	1.0	1.50D-06	1	HPHO	-	0.	0.	0.	298.0d0
PBSOAmP	4	3	392.0	BSOAmP	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	0.	0.	0.	298.0d0
PBSOAhP	4	3	392.0	BSOAhP	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	0.	0.	0.	298.0d0
PBOAlP	4	3	280.0	BOAlP	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	0.	0.	0.	298.0d0
PBOAmP	4	3	280.0	BOAmP	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	0.	0.	0.	298.0d0
PBOAhP	4	3	280.0	BOAhP	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	0.	0.	0.	298.0d0
PMonomer	4	3	278.0	Monomer	687.d0	8.39d0	30.D-03	1.0	1.50D-06	1	HPHO	-	0.	0.	0.	298.0d0
PDimer	4	3	432.0	Dimer	687.d0	8.39d0	30.D-03	1.0	1.50D-06	1	HPHO	-	0.	0.	0.	298.0d0
PBiA3D	4	2	204.0	BiA3D	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHI	-	0.	0.	0.	298.0d0
PACIDMAL	4	2	158.0	ACIDMAL	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHI	-	0.	0.	0.	298.0d0
PDHMB	4	2	154.0	DHMB	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHI	-	0.	0.	0.	298.0d0
PPAHlN	4	2	198.0	PAHlN	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHI	-	0.	0.	0.	298.0d0
PPAHhN	4	2	166.0	PAHhN	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHI	-	0.	0.	0.	298.0d0
PPSYR	4	2	186.0	PSYR	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHI	-	0.	0.	0.	298.0d0
PGHDPerox	4	2	174.0	GHDPerox	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHI	-	0.	0.	0.	298.0d0
PH2O	9	0	18.0	--	1.000D10	1.000D10	0.d0	1.0	1.00D-06	0	BOTH	-	0.	0.	0.	298.0d0
