22 (JX_spec.dat)  Scattering phase fns, scale extinct @ 999 nm  (mjp 3/07)
  300  2.3457  0.800   0.640  1.000 2.517 3.780 4.729 5.755 6.524 7.339 7.903
  400  2.4344  0.800   0.763  1.000 2.295 3.320 3.800 4.578 4.913 5.482 5.662
  600  2.6416  0.800   0.936  1.000 2.023 2.830 2.805 3.279 3.178 3.418 3.275
  999  3.0396  0.800   0.957  1.000 2.019 2.618 2.441 2.414 2.106 1.895 1.610
19 Mdust 1.5 = mineral dust (R.V.Martin)
  300  2.2228  1.500   0.579  1.000 2.705 4.250 5.641 7.023 8.293 9.53910.662
  400  2.2732  1.500   0.676  1.000 2.539 3.821 4.771 5.881 6.738 7.733 8.463
  600  2.3707  1.500   0.890  1.000 2.240 3.259 3.544 4.375 4.592 5.292 5.471
  999  2.5751  1.500   0.913  1.000 2.083 2.944 3.008 3.555 3.538 3.852 3.789
20 Mdust 2.5 = mineral dust (R.V.Martin)
  300  2.1579  2.500   0.556  1.000 2.780 4.476 6.085 7.664 9.18610.67312.096
  400  2.1923  2.500   0.616  1.000 2.678 4.164 5.458 6.813 8.046 9.32510.461
  600  2.2560  2.500   0.842  1.000 2.391 3.526 4.044 5.035 5.527 6.483 6.961
  999  2.3716  2.500   0.869  1.000 2.268 3.300 3.634 4.458 4.720 5.401 5.624
21 Mdust 4.0 = mineral dust (R.V.Martin)
  300  2.1154  4.000   0.550  1.000 2.809 4.574 6.281 7.960 9.60711.22412.806
  400  2.1402  4.000   0.577  1.000 2.761 4.405 5.941 7.485 8.97410.46211.878
  600  2.1852  4.000   0.786  1.000 2.505 3.744 4.488 5.599 6.354 7.485 8.238
  999  2.2637  4.000   0.819  1.000 2.413 3.563 4.133 5.118 5.652 6.582 7.097
22 Optical properties of an idealized aerosol vertical profil (Elterman, 1968)
  300  2.8047  0.332  0.9725  1.000 1.868 2.470 2.238 2.502 2.193 2.362 2.020
  400  2.8518  0.332  0.9790  1.000 1.843 2.321 2.015 2.080 1.720 1.739 1.400
  600  2.6539  0.332  0.9850  1.000 1.824 2.128 1.741 1.584 1.199 1.088 0.795
  999  1.9221  0.332  0.9886  1.000 1.782 1.877 1.413 1.099 0.738 0.579 0.369
